"Label (Grouping)","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error"
"Total:","9,097,504","±5,058"
"    Income in the past 12 months below poverty level:","895,913","±18,811"
"        Less than high school graduate","174,961","±9,680"
"        High school graduate (includes equivalency)","393,066","±13,106"
"        Some college, associate's degree","191,502","±7,265"
"        Bachelor's degree or higher","136,384","±8,349"
"    Income in the past 12 months at or above poverty level:","8,201,591","±19,850"
"        Less than high school graduate","502,183","±13,423"
"        High school graduate (includes equivalency)","2,519,338","±24,665"
"        Some college, associate's degree","1,963,650","±22,827"
"        Bachelor's degree or higher","3,216,420","±27,760"
